"ID","condition","correct","rt"
1,1,1,465.193854304184
1,1,1,791.257086231093
1,1,1,608.64073517293
1,1,1,683.113488292495
1,1,1,394.560555007398
1,1,1,431.200641865968
1,1,1,414.14408589154
1,1,0,459.514780880544
1,1,1,953.863535679434
1,1,1,738.823311307262
1,1,1,565.74787455158
1,1,1,480.431312872204
1,1,1,869.687721145701
1,1,1,781.710150034398
1,1,1,1082.33976717624
1,1,1,541.707530617162
1,1,1,590.08854446641
1,1,1,456.060387766165
1,1,1,428.518245228801
1,1,0,631.354185476903
1,1,1,888.967430175426
1,1,1,733.75383815508
1,1,1,396.372377435955
1,1,1,571.464370082602
1,1,1,964.860485467285
1,1,1,625.39496199193
1,1,0,755.243584392004
1,1,1,1115.92026608188
1,1,0,837.905173573439
1,1,1,574.710317921128
1,1,1,643.229238899461
1,1,0,437.534161024455
1,1,0,1408.88022524264
1,1,0,516.990285073246
1,1,1,706.720338262671
1,1,0,474.574055706929
1,1,1,843.451117605765
1,1,1,516.287972850276
1,1,0,595.204573788652
1,1,1,412.050181717889
1,1,1,576.234017457265
1,1,1,580.509382927409
1,1,1,643.258290899395
1,1,0,606.021984345085
1,1,1,575.074745686716
1,1,1,417.833626469418
1,1,1,586.016968322734
1,1,1,852.971092525473
1,1,0,923.371323137602
1,1,1,443.497548255118
1,1,1,798.754283635464
1,1,1,548.324571558337
1,1,0,516.097766975621
1,1,1,510.287521883967
1,1,1,774.729400823789
1,1,0,840.6919834612
1,1,1,541.273841119628
1,1,1,905.124800339084
1,1,1,597.548613793206
1,1,1,501.727962626033
1,1,1,454.570390338857
1,1,1,558.87085471361
1,1,0,585.025589750607
1,1,0,655.517933503045
1,1,1,1467.51184253438
1,1,1,578.155940688584
1,1,1,726.95543285006
1,1,0,539.656530936356
1,1,1,611.174484735185
1,1,1,614.358982633717
1,1,1,409.592455845003
1,1,1,368.103075153932
1,1,1,477.218926823542
1,1,0,610.419124454618
1,1,1,510.614181448206
1,1,1,540.978836892194
1,1,0,537.133668761038
1,1,0,449.048871968547
1,1,1,683.963747837141
1,1,1,372.28924489639
1,1,1,461.109346950253
1,1,1,600.144949009477
1,1,1,428.189197385667
1,1,0,750.775738406544
1,1,1,645.109362718611
1,1,1,444.887732715703
1,1,1,1243.2123176998
1,1,1,546.123938656698
1,1,0,908.329568359709
1,1,1,520.967691197437
1,1,0,547.492118875272
1,1,0,617.157638699498
1,1,1,596.772067943849
1,1,1,564.159971162315
1,1,1,619.033425387976
1,1,1,681.325347133829
1,1,0,631.800018652252
1,1,0,583.99545416861
1,1,1,2185.54319061751
1,1,0,422.181506493587
1,1,0,637.120217991988
1,1,1,517.212581486518
1,1,1,593.965246225923
1,1,1,872.798560392385
1,1,1,612.423611947972
1,1,1,822.408767708675
1,1,1,673.943893162689
1,1,1,713.299844547582
1,1,1,383.887363022046
1,1,0,641.080027745373
1,1,1,943.880466222512
1,1,1,405.863769009298
1,1,1,621.813493799169
1,1,0,686.642099532839
1,1,0,885.044463589805
1,1,0,511.656214270107
1,1,1,470.961741725368
1,1,0,681.22107951098
1,1,1,396.364161647282
1,1,0,2996.56428207337
1,1,0,430.001118646825
1,1,1,966.960404948034
1,1,0,588.549944388473
1,1,0,736.196731099907
1,1,1,407.156204991569
1,1,1,858.200855566179
1,1,0,1210.46977993773
1,1,0,525.689847851502
1,1,0,677.994272792038
1,1,1,638.247381082632
1,1,1,978.136839354404
1,1,1,812.286814901518
1,1,1,622.98229825281
1,1,1,559.162054440447
1,1,1,417.752319163281
1,1,0,688.339239023686
1,1,1,1204.25366415303
1,1,1,407.02931196567
1,1,0,443.505323040531
1,1,1,804.239561232497
1,1,1,741.640263171697
1,1,1,488.238364401239
1,1,0,878.017356833542
1,1,1,946.519417652923
1,1,1,453.642447350565
1,1,1,441.320827173854
1,1,1,398.450289862269
1,1,1,588.479087198682
1,1,1,485.581344016896
1,1,1,872.505692945811
1,1,0,696.77760256566
1,1,1,383.820659227424
1,1,0,811.07418001832
1,1,1,738.112501980748
1,1,1,520.699988879867
1,1,0,644.708548000415
1,1,1,538.050152635981
1,1,1,600.761117182716
1,1,0,400.707646188354
1,1,1,808.356989566227
1,1,1,811.921712079994
1,1,0,408.99836884216
1,1,0,935.636561809121
1,1,1,1050.54173474813
1,1,0,532.109010318615
1,1,1,727.220400551701
1,1,1,504.313583716726
1,1,1,486.345569213216
1,1,1,460.147033366431
1,1,0,514.485754254516
1,1,1,523.42583933444
1,1,1,1229.08181275489
1,1,0,893.205123157738
1,1,1,593.907152797103
1,1,1,537.138322249732
1,1,0,599.19466735717
1,1,0,808.007158051648
1,1,1,1080.03583248247
1,1,0,863.588766465943
1,1,0,733.521525640165
1,1,1,589.572565361524
1,1,1,623.657940307671
1,1,1,508.416184143202
1,1,1,432.671609449564
1,1,1,721.718940717137
1,1,1,555.328597597005
1,1,1,414.478452425845
1,1,1,1511.92611046451
1,1,1,479.133488975724
1,1,1,646.787444013322
1,1,1,423.616431412831
1,1,1,486.107933325585
1,1,1,609.933177778904
1,1,1,515.114683488231
1,1,0,565.613310153665
1,1,1,776.463179963774
1,1,1,498.583034871605
1,1,1,421.046743271861
1,1,1,490.676732765113
1,1,1,673.439845786551
1,1,1,547.145466291529
1,1,0,527.101433741721
1,1,1,791.403905229093
1,1,1,394.829654670602
1,1,1,489.870267597577
1,1,1,451.306553210015
1,1,1,468.544089639669
1,1,1,703.424402059873
1,1,1,469.189737235749
1,1,0,386.574313249775
1,1,1,705.914051170294
1,1,1,828.004821834596
1,1,1,1334.48016868908
1,1,0,483.481008018895
1,1,0,715.482486365644
1,1,0,541.964074172745
1,1,1,431.269190569093
1,1,1,385.533455972331
1,1,1,395.950864659252
1,1,1,655.636690256121
1,1,1,628.609215363567
1,1,1,699.264751811557
1,1,0,439.115351247986
1,1,1,725.945651373543
1,1,1,708.137108712508
1,1,1,440.553800785325
1,1,1,525.161830713719
1,1,1,545.042367069427
1,1,0,1101.81169424055
1,1,0,434.931872708605
1,1,1,753.625733817175
1,1,0,706.738287466791
1,1,1,657.3808458772
1,1,0,455.321782499627
1,1,1,641.479123986288
1,1,1,490.018726825709
1,1,0,610.716245854287
1,1,1,2255.94236957361
1,1,1,464.444200860676
1,1,1,443.048340588006
1,1,1,385.31507022078
1,1,1,448.232958427465
